NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
3FFLX454,BUSLVFLX1290,0.24,1.0,0.1,3,curve380_00R,377.22,14
1FFLX455,BUSLVFLX639,0.24,1.0,0.1,1,curve423_36R,422.65,17
3FFLX456,BUSLVFLX1191,0.24,1.0,0.1,3,curve390_02R,395.42,3
1FFLX457,BUSLVFLX869,0.24,1.0,0.1,1,curve470_34R,475.07,20
1FFLX458,BUSLVFLX691,0.24,1.0,0.1,1,curve248_00R,247.56,13
1FFLX459,BUSLVFLX890,0.24,1.0,0.1,1,curve361_00R,364.33,3
1FFLX460,BUSLVFLX587,0.24,1.0,0.1,1,curve255_96R,258.75,21
1FFLX461,BUSLVFLX811,0.24,1.0,0.1,1,curve313_00R,310.04,13
1FFLX462,BUSLVFLX686,0.24,1.0,0.1,1,curve390_02R,387.79,29
1FFLX463,BUSLVFLX538,0.24,1.0,0.1,1,curve413_00R,417.5,29
1FFLX464,BUSLVFLX790,0.24,1.0,0.1,1,curve225_00R,226.12,1
3FFLX465,BUSLVFLX1274,0.24,1.0,0.1,3,curve215_30R,215.84,13
1FFLX466,BUSLVFLX608,0.24,1.0,0.1,1,curve264_00R,264.15,18
1FFLX467,BUSLVFLX288,0.24,1.0,0.1,1,curve283_00R,279.81,11
3FFLX468,BUSLVFLX1246,0.24,1.0,0.1,3,curve215_30R,215.84,22
1FFLX469,BUSLVFLX520,0.24,1.0,0.1,1,curve255_96R,258.75,3
1FFLX470,BUSLVFLX471,0.24,1.0,0.1,1,curve292_50R,289.96,22
1FFLX471,BUSLVFLX522,0.24,1.0,0.1,1,curve339_00R,341.25,12
1FFLX472,BUSLVFLX404,0.24,1.0,0.1,1,curve230_00R,229.37,3
1FFLX473,BUSLVFLX1184,0.24,1.0,0.1,1,curve401_82R,399.45,22
1FFLX474,BUSLVFLX393,0.24,1.0,0.1,1,curve235_80R,235.67,12
1FFLX475,BUSLVFLX277,0.24,1.0,0.1,1,curve283_00R,282.36,3
1FFLX476,BUSLVFLX533,0.24,1.0,0.1,1,curve434_00R,434.08,29
1FFLX477,BUSLVFLX487,0.24,1.0,0.1,1,curve283_00R,282.36,12
1FFLX478,BUSLVFLX687,0.24,1.0,0.1,1,curve269_45R,266.81,12
1FFLX479,BUSLVFLX448,0.24,1.0,0.1,1,curve235_80R,238.72,12
1FFLX480,BUSLVFLX293,0.24,1.0,0.1,1,curve275_00R,277.25,17
1FFLX481,BUSLVFLX922,0.24,1.0,0.1,1,curve413_00R,417.5,13
1FFLX482,BUSLVFLX294,0.24,1.0,0.1,1,curve230_00R,229.37,29
1FFLX483,BUSLVFLX885,0.24,1.0,0.1,1,curve361_00R,358.28,3
1FFLX484,BUSLVFLX642,0.24,1.0,0.1,1,curve255_96R,253.23,1
1FFLX485,BUSLVFLX730,0.24,1.0,0.1,1,curve481_00R,488.08,1
1FFLX486,BUSLVFLX365,0.24,1.0,0.1,1,curve304_21R,307.53,1
1FFLX487,BUSLVFLX1058,0.24,1.0,0.1,1,curve361_00R,364.33,17
1FFLX488,BUSLVFLX727,0.24,1.0,0.1,1,curve390_02R,391.54,11
1FFLX489,BUSLVFLX92,0.24,1.0,0.1,1,curve423_36R,422.65,18
1FFLX490,BUSLVFLX680,0.24,1.0,0.1,1,curve346_00R,346.77,11
1FFLX491,BUSLVFLX590,0.24,1.0,0.1,1,curve313_00R,317.64,12
1FFLX492,BUSLVFLX916,0.24,1.0,0.1,1,curve380_00R,377.22,12
3FFLX493,BUSLVFLX1280,0.24,1.0,0.1,3,curve506_00R,505.37,22
1FFLX494,BUSLVFLX812,0.24,1.0,0.1,1,curve325_00R,320.19,1
3FFLX495,BUSLVFLX1244,0.24,1.0,0.1,3,curve470_34R,475.07,17
1FFLX496,BUSLVFLX877,0.24,1.0,0.1,1,curve361_00R,361.28,2
1FFLX497,BUSLVFLX446,0.24,1.0,0.1,1,curve390_02R,391.54,21
1FFLX498,BUSLVFLX1096,0.24,1.0,0.1,1,curve332_00R,333.19,13
1FFLX499,BUSLVFLX296,0.24,1.0,0.1,1,curve248_00R,250.41,3
1FFLX500,BUSLVFLX543,0.24,1.0,0.1,1,curve225_00R,226.12,12
1FFLX501,BUSLVFLX363,0.24,1.0,0.1,1,curve423_36R,422.65,17
1FFLX502,BUSLVFLX350,0.24,1.0,0.1,1,curve283_00R,287.43,29
1FFLX503,BUSLVFLX585,0.24,1.0,0.1,1,curve470_34R,475.07,3
1FFLX504,BUSLVFLX646,0.24,1.0,0.1,1,curve361_00R,361.28,20
3FFLX505,BUSLVFLX1071,0.24,1.0,0.1,3,curve346_00R,346.77,12
1FFLX506,BUSLVFLX588,0.24,1.0,0.1,1,curve413_00R,412.64,13
1FFLX507,BUSLVFLX726,0.24,1.0,0.1,1,curve353_33R,352.44,3
1FFLX508,BUSLVFLX454,0.24,1.0,0.1,1,curve242_00R,241.72,28
1FFLX509,BUSLVFLX541,0.24,1.0,0.1,1,curve459_00R,455.48,3
1FFLX510,BUSLVFLX1154,0.24,1.0,0.1,1,curve283_00R,284.9,13
3FFLX511,BUSLVFLX1204,0.24,1.0,0.1,3,curve313_00R,310.04,2
1FFLX512,BUSLVFLX326,0.24,1.0,0.1,1,curve380_00R,380.64,14
