NAME,BUS_FROM,BUS_TO,LENGTH[M],GEOMETRY,BASE_KV
LV1FFLX231,BUSLVFLX263,BUSLVFLX260,13.1996,Linecode=TRPX6AAC,0.12
LV1FFLX232,BUSLVFLX262,BUSLVFLX261,14.9565,Linecode=TRPX6AAC,0.12
LV1FFLX233,BUSLVFLX261,BUSLVFLX264,3.8482,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX234,BUSLVFLX264,BUSLVFLX265,5.2152,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX235,BUSLVFLX266,BUSLVFLX264,12.6424,Linecode=TRPX6AAC,0.12
LV1FFLX236,BUSLVFLX265,BUSLVFLX267,9.6534,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX237,BUSLVFLX271,BUSLVFLX265,14.1379,Linecode=TRPX6AAC,0.12
LV1FFLX238,BUSLVFLX267,BUSLVFLX268,0.9519,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX239,BUSLVFLX281,BUSLVFLX267,15.331,Linecode=TRPX6AAC,0.12
LV1FFLX240,BUSLVFLX269,BUSLVFLX268,15.1735,Linecode=TRPX6AAC,0.12
LV1FFLX241,BUSLVFLX268,BUSLVFLX270,5.5781,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX242,BUSLVFLX270,BUSLVFLX272,3.154,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX243,BUSLVFLX284,BUSLVFLX270,16.7502,Linecode=TRPX6AAC,0.12
LV1FFLX244,BUSLVFLX273,BUSLVFLX272,10.1821,Linecode=TRPX6AAC,0.12
LV1FFLX245,BUSLVFLX272,BUSLVFLX274,3.2489,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX246,BUSLVFLX274,BUSLVFLX279,2.7506,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX247,BUSLVFLX286,BUSLVFLX274,15.2527,Linecode=TRPX6AAC,0.12
LV1FFLX248,BUSLVFLX275,BUSLVFLX276,5.6895,Linecode=TRPX2AAC,0.12
LV1FFLX249,BUSLVFLX277,BUSLVFLX276,3.8349,Linecode=TRPX2AAC,0.12
LV1FFLX250,BUSLVFLX278,BUSLVFLX276,5.6706,Linecode=TRPX2AAC,0.12
